Year	Format2	Format	Units	Revenue	CPI Adjustment
2014	Synchronization	Total		$189,713,099	$257,995,422
2014	Total	Total		$4,747,552,212	$6,456,310,835
2013	Digital Downloads	Download Album		$873,953,652	$1,207,790,538
2013	Digital Downloads	Download Music Video		$12,255,134	$16,936,407
2013	Digital Downloads	Download Single		$1,169,383,543	$1,616,070,116
2013	Digital Downloads	Kiosk		$3,940,198	$5,445,293
2013	Digital Downloads	Other Digital		$0	$0
2013	Digital Downloads	Ringtones & Ringbacks		$45,517,285	$62,904,190
2013	Digital Downloads	Total		$2,105,049,811	$2,909,146,544
2013	Physical	8 - Track		$0	$0
2013	Physical	Cassette		$0	$0
2013	Physical	Cassette Single		$0	$0
2013	Physical	CD		$1,251,560,887	$1,729,637,944
2013	Physical	CD Single		$1,286,324	$1,777,680
2013	Physical	DVD Audio		($258,319)	($356,992)
2013	Physical	LP/EP		$128,454,730	$177,522,466
2013	Physical	Music Video (Physical)		$55,450,884	$76,632,271
2013	Physical	Other Physical		$0	$0
2013	Physical	Other Tapes		$0	$0
2013	Physical	SACD		$533,461	$737,234
2013	Physical	Vinyl Single		$1,763,150	$2,436,646
2013	Physical	Total		$1,438,791,117	$1,988,387,249
2013	Streaming	Free Streaming		$220,873,544	$305,243,850
2013	Streaming	Other Streaming		$590,400,000	$815,923,742
2013	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2013	Streaming	Paid Subscriptions (Premium)		$321,662,147	$444,532,152
2013	Streaming	Total		$1,132,935,691	$1,565,699,744
2013	Synchronization	Synchronization		$189,679,434	$262,134,068
2013	Synchronization	Total		$189,679,434	$262,134,068
2013	Total	Total		$4,866,456,053	$6,725,367,605
2012	Digital Downloads	Download Album		$850,104,756	$1,192,040,191
2012	Digital Downloads	Download Music Video		$15,322,785	$21,486,029
2012	Digital Downloads	Download Single		$1,206,410,497	$1,691,661,867
2012	Digital Downloads	Kiosk		$2,332,424	$3,270,589
2012	Digital Downloads	Other Digital		$0	$0
2012	Digital Downloads	Ringtones & Ringbacks		$73,828,472	$103,524,307
2012	Digital Downloads	Total		$2,147,998,934	$3,011,982,982
2012	Physical	8 - Track		$0	$0
2012	Physical	Cassette		$0	$0
2012	Physical	Cassette Single		$0	$0
2012	Physical	CD		$1,419,362,117	$1,990,268,465
2012	Physical	CD Single		$1,500,976	$2,104,710
2012	Physical	DVD Audio		$100,107	$140,372
2012	Physical	LP/EP		$97,480,386	$136,689,669
2012	Physical	Music Video (Physical)		$68,732,763	$96,378,964
2012	Physical	Other Physical		$0	$0
2012	Physical	Other Tapes		$0	$0
2012	Physical	SACD		$748,714	$1,049,867
2012	Physical	Vinyl Single		$2,514,109	$3,525,353
2012	Physical	Total		$1,590,439,172	$2,230,157,401
2012	Streaming	Free Streaming		$170,935,408	$239,690,315
2012	Streaming	Other Streaming		$462,000,000	$647,829,063
2012	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2012	Streaming	Paid Subscriptions (Premium)		$199,941,263	$280,363,120
2012	Streaming	Total		$832,876,672	$1,167,882,498
2012	Synchronization	Synchronization		$190,597,753	$267,261,394
2012	Synchronization	Total		$190,597,753	$267,261,394
2012	Total	Total		$4,761,912,531	$6,677,284,275
2011	Digital Downloads	Download Album		$755,540,644	$1,081,364,377
2011	Digital Downloads	Download Music Video		$23,819,810	$34,092,002
2011	Digital Downloads	Download Single		$1,116,789,568	$1,598,400,384
2011	Digital Downloads	Kiosk		$1,723,435	$2,466,660
2011	Digital Downloads	Other Digital		$0	$0
2011	Digital Downloads	Ringtones & Ringbacks		$139,674,046	$199,907,892
2011	Digital Downloads	Total		$2,037,547,503	$2,916,231,315
2011	Physical	8 - Track		$0	$0
2011	Physical	Cassette		$0	$0
2011	Physical	Cassette Single		$0	$0
2011	Physical	CD		$1,770,594,661	$2,534,156,180
2011	Physical	CD Single		$1,628,920	$2,331,384
2011	Physical	DVD Audio		$164,014	$234,744
2011	Physical	LP/EP		$72,417,475	$103,647,207
2011	Physical	Music Video (Physical)		$89,000,274	$127,381,269
2011	Physical	Other Physical		$0	$0
2011	Physical	Other Tapes		$0	$0
2011	Physical	SACD		$836,552	$1,197,311
2011	Physical	Vinyl Single		$2,438,281	$3,489,779
2011	Physical	Total		$1,937,080,176	$2,772,437,875
2011	Streaming	Free Streaming		$113,800,000	$162,875,773
2011	Streaming	Other Streaming		$292,000,000	$417,923,775
2011	Streaming	Paid Subscriptions (Non-Premium)		$0	$0
2011	Streaming	Paid Subscriptions (Premium)		$123,899,998	$177,331,353
2011	Streaming	Total		$529,699,998	$758,130,900
2011	Synchronization	Synchronization		$196,500,000	$281,239,801
2011	Synchronization	Total		$196,500,000	$281,239,801
2011	Total	Total		$4,700,827,677	$6,728,039,890
2010	Digital Downloads	Download Album		$615,552,538	$908,816,225
2010	Digital Downloads	Download Music Video		$26,907,563	$39,726,957
2010	Digital Downloads	Download Single		$980,345,231	$1,447,404,724
